id,number,title,user,state,created_at,closed_at,comments,open_duration_days
3461806780,4357,[DRAFT] Feat: Création de compte utilisateur,dust-agent[bot],open,2025-09-28T12:55:26+00:00,,0,
3455749672,4355,[CjlZRgYFDZ] Updates fail: cannot execute UPDATE in a read-only transaction (postgres tool sets transactions read-only),flexus-caw[bot],open,2025-09-26T04:27:45+00:00,,0,
3449083566,4346,Include <studio.h>,ahmadfarhat27,open,2025-09-24T11:48:23+00:00,,1,
3437981597,4339,Execute: transaction ,ferg376,open,2025-09-21T08:03:55+00:00,,0,
3425116201,4334,Abd,riverajoellopez13-ctrl,open,2025-09-17T07:51:59+00:00,,0,
3419350635,4331,Test smoke issue,xanpena,open,2025-09-15T20:14:12+00:00,,0,
3418214903,4330,problem with flutter in vs code when i run  flutter,NewDev2007,open,2025-09-15T14:25:20+00:00,,0,
3417758308,4329,Your issue title,jeyansh07-create,open,2025-09-15T12:28:54+00:00,,0,
3417233136,4328,Bug Report: Cannot load homepage,kkzz-730,open,2025-09-15T10:03:48+00:00,,0,
3416060155,4326,자기소개 추기,shkim6663,open,2025-09-15T02:42:23+00:00,,0,
3413285952,4319,[Feature] 자기소개 추가,B-ChJ,closed,2025-09-13T11:52:39+00:00,2025-09-15T01:53:11+00:00,0,1.0
3409707091,4315,자기소개 추가 테스트,UK-spring,open,2025-09-12T09:36:35+00:00,,0,
3409375424,4312,자기소개 추가,sjww0604,closed,2025-09-12T08:08:59+00:00,2025-09-12T10:08:52+00:00,0,0.0
3400701318,4303,Test Issue,aiur100,open,2025-09-10T02:59:08+00:00,,0,
3400685924,4302,Test Issue,aiur100,open,2025-09-10T02:48:59+00:00,,0,
3400685440,4301,Test Issue,aiur100,open,2025-09-10T02:48:39+00:00,,0,
3400684170,4300,Test Issue,aiur100,open,2025-09-10T02:48:08+00:00,,0,
3398652335,4299,BUG,ghost,open,2025-09-09T14:06:35+00:00,,0,
3396955657,4294,Test Issue from GitHub Bot,sophiaxuatreplit,open,2025-09-09T07:00:26+00:00,,1,
3396824603,4293,Test Issue,sophiaxuatreplit,open,2025-09-09T06:17:10+00:00,,1,
